ds,y
9/3/2007,1038.922
9/4/2007,1584.944
9/5/2007,1236.572
9/6/2007,901.474
9/7/2007,1336.496
9/8/2007,1469.752
9/9/2007,1679.502
9/10/2007,1117.376
9/11/2007,983.572
9/12/2007,1287.764
9/13/2007,1146.382
9/14/2007,1135.47
9/15/2007,1095.312
9/16/2007,1652.224
9/17/2007,1461.186
9/18/2007,1167.52
9/19/2007,1298.684
9/20/2007,1255.532
9/21/2007,1238.78
9/22/2007,1176.172
9/23/2007,1417.97
9/24/2007,1354.53
9/25/2007,1764.342
9/26/2007,1822.264
9/27/2007,1392.6
9/28/2007,1680.498
9/29/2007,2296.522
9/30/2007,1516.29
10/1/2007,1720.922
10/2/2007,2198.864
10/3/2007,1280.454
10/4/2007,1518.458
10/5/2007,1394.092
10/6/2007,1756.24
10/7/2007,2106.114
10/8/2007,1095.242
10/9/2007,1687.858
10/10/2007,1166.972
10/11/2007,1732.446
10/12/2007,1914.504
10/13/2007,1926.728
10/14/2007,2061.252
10/15/2007,1266.33
10/16/2007,1964.442
10/17/2007,1576.93
10/18/2007,1518.53
10/19/2007,2085.648
10/20/2007,1660.246
10/21/2007,1941.94
10/22/2007,1652.896
10/23/2007,1954.648
10/24/2007,1865.636
10/25/2007,1853.918
10/26/2007,1437.568
10/27/2007,1785.688
10/28/2007,512.158
10/29/2007,545.428
10/30/2007,811.008
10/31/2007,1283.21
11/1/2007,496.216
11/2/2007,1443.602
11/3/2007,492.55
11/4/2007,1485.686
11/5/2007,1500.592
11/6/2007,2082.378
11/7/2007,1844.758
11/8/2007,1501.06
11/9/2007,2171.226
11/10/2007,2611.6
11/11/2007,1887.124
11/12/2007,2156.146
11/13/2007,2214.398
11/14/2007,2047.994
11/15/2007,1491.988
11/16/2007,2309.754
11/17/2007,2610.094
11/18/2007,2183.858
11/19/2007,1723.654
11/20/2007,2095.856
11/21/2007,1751.836
11/22/2007,1932.378
11/23/2007,2522.618
11/24/2007,1899.054
11/25/2007,1395.598
11/26/2007,1569.716
11/27/2007,2801.012
11/28/2007,1644.94
11/29/2007,1719.23
11/30/2007,2331.728
12/1/2007,3134.942
12/2/2007,2946.188
12/3/2007,1762.06
12/4/2007,2067.636
12/5/2007,2153.12
12/6/2007,2487.934
12/7/2007,1769.016
12/8/2007,2213.404
12/9/2007,2274.584
12/10/2007,1758.754
12/11/2007,2305.104
12/12/2007,1588.062
12/13/2007,1847.746
12/14/2007,1974.808
12/15/2007,2736.876
12/16/2007,2762.218
12/17/2007,1797.066
12/18/2007,2623.194
12/19/2007,2196.052
12/20/2007,1949.758
12/21/2007,1982.576
12/22/2007,2611.264
12/23/2007,2409.048
12/24/2007,2257.848
12/25/2007,2694.968
12/26/2007,2580.28
12/27/2007,2532.198
12/28/2007,3113.052
12/29/2007,3298.956
12/30/2007,2558.916
12/31/2007,2216.542
1/1/2008,2759.738
1/2/2008,1644.106
1/3/2008,1510.108
1/4/2008,2291.852
1/5/2008,2183.248
1/6/2008,1825.184
1/7/2008,1695.814
1/8/2008,2043.55
1/9/2008,1788.44
1/10/2008,1894.076
1/11/2008,1705.818
1/12/2008,2871.408
1/13/2008,2881.656
1/14/2008,2024.932
1/15/2008,2686.912
1/16/2008,2135.852
1/17/2008,1572.282
1/18/2008,2186.988
1/19/2008,1980.306
1/20/2008,1740.368
1/21/2008,1858.998
1/22/2008,2325.018
1/23/2008,1882.308
1/24/2008,1645.022
1/25/2008,2239.856
1/26/2008,2834.988
1/27/2008,2381.766
1/28/2008,2308.196
1/29/2008,2676.024
1/30/2008,1640.646
1/31/2008,1953.922
2/1/2008,1534.652
2/2/2008,2936.034
2/3/2008,2084.568
2/4/2008,1628.138
2/5/2008,2472.456
2/6/2008,1669.54
2/7/2008,1518.31
2/8/2008,1950.564
2/9/2008,2102.276
2/10/2008,2184.714
2/11/2008,1692.016
2/12/2008,1987.798
2/13/2008,1900.498
2/14/2008,1604.622
2/15/2008,2005.208
2/16/2008,2346.948
2/17/2008,1933.368
2/18/2008,1514.404
2/19/2008,2126.916
2/20/2008,2253.79
2/21/2008,1633.85
2/22/2008,1732.564
2/23/2008,1833.97
2/24/2008,1263.008
2/25/2008,504.488
2/26/2008,507.12
2/27/2008,566.72
2/28/2008,509.184
2/29/2008,1333.348
3/1/2008,1141.876
3/2/2008,1162.226
3/3/2008,1040.55
3/4/2008,1668.99
3/5/2008,2037.208
3/6/2008,2503.208
3/7/2008,1862.956
3/8/2008,2248.66
3/9/2008,1560.458
3/10/2008,1618.686
3/11/2008,2200.042
3/12/2008,1774.232
3/13/2008,1675.514
3/14/2008,2210.22
3/15/2008,1576.3
3/16/2008,1801.96
3/17/2008,1706.918
3/18/2008,1917.566
3/19/2008,1308.448
3/20/2008,1253.274
3/21/2008,2066.442
3/22/2008,2053.516
3/23/2008,2325.99
3/24/2008,1974.668
3/25/2008,2015.856
3/26/2008,1633.472
3/27/2008,1370.822
3/28/2008,1885.424
3/29/2008,2471.15
3/30/2008,2146.392
3/31/2008,1377.57
4/1/2008,2129.052
4/2/2008,1691.672
4/3/2008,1128.756
4/4/2008,1631.918
4/5/2008,1970.762
4/6/2008,1696.318
4/7/2008,1538.838
4/8/2008,2657.516
4/9/2008,1218.852
4/10/2008,1477.746
4/11/2008,1877.664
4/12/2008,2800.014
4/13/2008,2232.986
4/14/2008,1589.582
4/15/2008,1670.406
4/16/2008,1489.064
4/17/2008,1395.862
4/18/2008,1862.39
4/19/2008,2253.71
4/20/2008,1791.418
4/21/2008,1164.156
4/22/2008,1627.676
4/23/2008,1357.328
4/24/2008,1043.772
4/25/2008,1267.734
4/26/2008,903.166
4/27/2008,1008.24
4/28/2008,659.052
4/29/2008,1972.616
4/30/2008,1101.726
5/1/2008,576.014
5/2/2008,1497.768
5/3/2008,1289.6
5/4/2008,1470.97
5/5/2008,1366.932
5/6/2008,1789.98
5/7/2008,1176.264
5/8/2008,2116.698
5/9/2008,1747.272
5/10/2008,1909.128
5/11/2008,1610.92
5/12/2008,1524.204
5/13/2008,1476.894
5/14/2008,1584.262
5/15/2008,1162.768
5/16/2008,1648.03
5/17/2008,1657.454
5/18/2008,1803.958
5/19/2008,1030.262
5/20/2008,1581.334
5/21/2008,1324.112
5/22/2008,976.868
5/23/2008,1484.916
5/24/2008,1580.176
5/25/2008,2048.504
5/26/2008,1289.71
5/27/2008,1708.7
5/28/2008,1114.372
5/29/2008,1135.076
5/30/2008,1397.244
5/31/2008,1641.47
6/1/2008,1848.876
6/2/2008,1074.012
6/3/2008,1597.816
6/4/2008,1588.912
6/5/2008,1120.078
6/6/2008,1217.714
6/7/2008,1882.484
6/8/2008,1542.322
6/9/2008,1325.698
6/10/2008,1067.09
6/11/2008,1123.206
6/12/2008,1259.332
6/13/2008,1874.28
6/14/2008,1384.92
6/15/2008,2289.102
6/16/2008,1303.044
6/17/2008,1145.084
6/18/2008,1893.608
6/19/2008,1588.082
6/20/2008,1676.104
6/21/2008,1734.254
6/22/2008,1566.416
6/23/2008,1251.796
6/24/2008,1754.452
6/25/2008,1261.77
6/26/2008,1056.02
6/27/2008,1755.152
6/28/2008,1208.8
6/29/2008,749.352
6/30/2008,804.196
7/1/2008,1215.24
7/2/2008,1147.202
7/3/2008,1098.36
7/4/2008,942.02
7/5/2008,1469.088
7/6/2008,1805.064
7/7/2008,983.39
7/8/2008,1126.214
7/9/2008,919.318
7/10/2008,1251.276
7/11/2008,1254.216
7/12/2008,1328.852
7/13/2008,1253.754
7/14/2008,1137.926
7/15/2008,1155.86
7/16/2008,1077.062
7/17/2008,1319.122
7/18/2008,1261.584
7/19/2008,1344.014
7/20/2008,941.534
7/21/2008,1156.478
7/22/2008,740.242
7/23/2008,942.63
7/24/2008,1093.45
7/25/2008,865.534
7/26/2008,815.684
7/27/2008,1147.396
7/28/2008,825.804
7/29/2008,1166.558
7/30/2008,1299.908
7/31/2008,1392.638
8/1/2008,739.576
8/2/2008,505.776
8/3/2008,504.782
8/4/2008,1125.92
8/5/2008,827.118
8/6/2008,326.112
8/7/2008,334.884
8/8/2008,302.2
8/9/2008,358.924
8/10/2008,352.032
8/11/2008,371.916
8/12/2008,288.984
8/13/2008,282.584
8/14/2008,270.258
8/15/2008,273.654
8/16/2008,274.814
8/17/2008,274.796
8/18/2008,273.758
8/19/2008,274.692
8/20/2008,268.472
8/21/2008,261.298
8/22/2008,267.124
8/23/2008,254.642
8/24/2008,254.716
8/25/2008,250.298
8/26/2008,257.564
8/27/2008,258.114
8/28/2008,268.246
8/29/2008,267.588
8/30/2008,270.424
8/31/2008,1500.614
9/1/2008,1247.51
9/2/2008,1384.154
9/3/2008,1388.486
9/4/2008,1225.22
9/5/2008,873.96
9/6/2008,1868.574
9/7/2008,1372.656
9/8/2008,1309.324
9/9/2008,1159.654
9/10/2008,1300.764
9/11/2008,1028.714
9/12/2008,1392.762
9/13/2008,1631.436
9/14/2008,1576.326
9/15/2008,1697.708
9/16/2008,1221.862
9/17/2008,1519.21
9/18/2008,1505.29
9/19/2008,1518.846
9/20/2008,1304.6
9/21/2008,1533.07
9/22/2008,1358.564
9/23/2008,1232.788
9/24/2008,1718.35
9/25/2008,1131.22
9/26/2008,1431.45
9/27/2008,2127.446
9/28/2008,1731.104
9/29/2008,1501.738
9/30/2008,1375.006
10/1/2008,1872.364
10/2/2008,1345.342
10/3/2008,1612.58
10/4/2008,2100.496
10/5/2008,1549.95
10/6/2008,1423.782
10/7/2008,1726.568
10/8/2008,1860.576
10/9/2008,1983.682
10/10/2008,1518.338
10/11/2008,1669.386
10/12/2008,1907.94
10/13/2008,1461.976
10/14/2008,1609.056
10/15/2008,2156.896
10/16/2008,1583.68
10/17/2008,1866.886
10/18/2008,2239.19
10/19/2008,1971.934
10/20/2008,1667.554
10/21/2008,2063.716
10/22/2008,1646.01
10/23/2008,1830.494
10/24/2008,2133.226
10/25/2008,1523.156
10/26/2008,523.492
10/27/2008,523.892
10/28/2008,1327.29
10/29/2008,1612.576
10/30/2008,1098.6
10/31/2008,1285.832
11/1/2008,830.498
11/2/2008,910.614
11/3/2008,847.6
11/4/2008,1562.316
11/5/2008,3134.93
11/6/2008,1588.438
11/7/2008,1619.184
11/8/2008,1733.138
11/9/2008,2578.538
11/10/2008,2091.88
11/11/2008,2455.95
11/12/2008,2186.494
11/13/2008,1238.46
11/14/2008,1621.738
11/15/2008,3031.628
11/16/2008,2365.432
11/17/2008,1523.636
11/18/2008,1749.05
11/19/2008,1840.238
11/20/2008,1692.336
11/21/2008,1673.93
11/22/2008,1711.368
11/23/2008,3405.324
11/24/2008,3212.998
11/25/2008,2702.85
11/26/2008,1515.954
11/27/2008,2362.218
11/28/2008,1885.964
11/29/2008,2434.668
11/30/2008,2401.388
12/1/2008,1616.538
12/2/2008,1793.444
12/3/2008,1755.164
12/4/2008,1738.638
12/5/2008,2058.618
12/6/2008,2523.836
12/7/2008,2466.74
12/8/2008,1868.636
12/9/2008,2003.144
12/10/2008,2111.02
12/11/2008,1432.522
12/12/2008,1815.534
12/13/2008,1759.33
